period,Day-ahead demand forecast,Demand,Net generation,Total interchange
2020-01-01T00,38408.0,40020.0,40020.0,0.0
2020-01-01T01,40829.0,41642.0,41643.0,1.0
2020-01-01T02,41213.0,40925.0,40931.0,5.0
2020-01-01T03,41926.0,39980.0,39986.0,5.0
2020-01-01T04,41535.0,39165.0,39197.0,32.0
2020-01-01T05,40055.0,38196.0,38074.0,-122.0
2020-01-01T06,38428.0,37284.0,37144.0,-140.0
2020-01-01T07,37761.0,36649.0,36521.0,-128.0
2020-01-01T08,37154.0,36352.0,36225.0,-128.0
2020-01-01T09,36644.0,35883.0,35824.0,-60.0
2020-01-01T10,36668.0,35654.0,35532.0,-123.0
2020-01-01T11,36600.0,35816.0,35737.0,-80.0
2020-01-01T12,37562.0,36302.0,36225.0,-78.0
2020-01-01T13,39091.0,36918.0,36907.0,-12.0
2020-01-01T14,39784.0,37267.0,37277.0,9.0
2020-01-01T15,39396.0,37807.0,37795.0,-13.0
2020-01-01T16,39543.0,38813.0,38779.0,-35.0
2020-01-01T17,39111.0,39814.0,39685.0,-130.0
2020-01-01T18,38954.0,40207.0,40120.0,-87.0
2020-01-01T19,38423.0,40117.0,39937.0,-180.0
2020-01-01T20,37666.0,39756.0,39539.0,-219.0
2020-01-01T21,36970.0,39245.0,39035.0,-211.0
2020-01-01T22,37105.0,38895.0,38769.0,-127.0
2020-01-01T23,37639.0,39088.0,38868.0,-220.0
2020-01-02T00,39252.0,40554.0,40392.0,-162.0
2020-01-02T01,41077.0,41577.0,41466.0,-111.0
2020-01-02T02,41087.0,41153.0,41075.0,-78.0
2020-01-02T03,40888.0,40444.0,40366.0,-78.0
2020-01-02T04,40052.0,39281.0,39204.0,-78.0
2020-01-02T05,38037.0,37454.0,37355.0,-99.0
2020-01-02T06,35806.0,35497.0,35516.0,18.0
2020-01-02T07,33730.0,34039.0,33879.0,-161.0
2020-01-02T08,32764.0,33086.0,32875.0,-211.0
2020-01-02T09,31986.0,32552.0,32549.0,-3.0
2020-01-02T10,31497.0,32527.0,32530.0,3.0
2020-01-02T11,32131.0,33206.0,33212.0,6.0
2020-01-02T12,33831.0,34816.0,34842.0,26.0
2020-01-02T13,36870.0,36936.0,36936.0,-1.0
2020-01-02T14,38222.0,38519.0,38526.0,6.0
2020-01-02T15,37731.0,38953.0,38962.0,8.0
2020-01-02T16,37895.0,39336.0,39457.0,121.0
2020-01-02T17,37918.0,39654.0,39721.0,66.0
2020-01-02T18,38344.0,39637.0,39673.0,36.0
2020-01-02T19,37993.0,39331.0,39389.0,57.0
2020-01-02T20,37581.0,39126.0,39117.0,-10.0
2020-01-02T21,37824.0,38713.0,38723.0,9.0
2020-01-02T22,37444.0,38371.0,38380.0,8.0
2020-01-02T23,37735.0,38374.0,38383.0,8.0
2020-01-03T00,39172.0,39517.0,39520.0,1.0
2020-01-03T01,40259.0,40919.0,40491.0,-428.0
2020-01-03T02,40131.0,40551.0,40339.0,-212.0
2020-01-03T03,39307.0,39979.0,39767.0,-212.0
2020-01-03T04,38090.0,39034.0,38822.0,-212.0
2020-01-03T05,36410.0,37416.0,37205.0,-212.0
2020-01-03T06,34604.0,35682.0,35441.0,-242.0
2020-01-03T07,33469.0,34402.0,34089.0,-314.0
2020-01-03T08,32849.0,33502.0,33066.0,-437.0
2020-01-03T09,32625.0,33174.0,32784.0,-391.0
2020-01-03T10,32807.0,33343.0,33081.0,-262.0
2020-01-03T11,33786.0,34065.0,33822.0,-243.0
2020-01-03T12,36243.0,35822.0,35657.0,-166.0
2020-01-03T13,40087.0,38110.0,37889.0,-221.0
2020-01-03T14,41734.0,39791.0,39573.0,-219.0
2020-01-03T15,41347.0,40308.0,40303.0,-5.0
2020-01-03T16,41007.0,40222.0,40231.0,8.0
2020-01-03T17,40679.0,39919.0,39922.0,3.0
2020-01-03T18,40061.0,39345.0,39348.0,3.0
2020-01-03T19,39345.0,38670.0,38673.0,3.0
2020-01-03T20,38843.0,38102.0,38105.0,3.0
2020-01-03T21,38263.0,37740.0,37743.0,3.0
2020-01-03T22,37990.0,37450.0,37459.0,8.0
2020-01-03T23,37991.0,37463.0,37474.0,11.0
2020-01-04T00,39116.0,38717.0,38825.0,107.0
2020-01-04T01,40810.0,40453.0,40243.0,-210.0
2020-01-04T02,40759.0,40474.0,40257.0,-217.0
2020-01-04T03,40433.0,40320.0,40110.0,-210.0
2020-01-04T04,39770.0,39866.0,39657.0,-210.0
2020-01-04T05,38678.0,38849.0,38639.0,-210.0
2020-01-04T06,37417.0,37662.0,37452.0,-210.0
2020-01-04T07,36685.0,36684.0,36469.0,-215.0
2020-01-04T08,36108.0,36196.0,35984.0,-212.0
2020-01-04T09,36153.0,36142.0,36137.0,-6.0
2020-01-04T10,36417.0,36536.0,36332.0,-204.0
2020-01-04T11,37164.0,37271.0,37065.0,-207.0
2020-01-04T12,38564.0,38678.0,38677.0,-1.0
2020-01-04T13,40391.0,40566.0,40397.0,-170.0
2020-01-04T14,42084.0,42224.0,42144.0,-81.0
2020-01-04T15,42187.0,42702.0,42488.0,-215.0
2020-01-04T16,41486.0,41674.0,41316.0,-358.0
2020-01-04T17,40248.0,40222.0,39913.0,-309.0
2020-01-04T18,38615.0,38717.0,38662.0,-56.0
2020-01-04T19,37179.0,37370.0,37374.0,3.0
2020-01-04T20,35898.0,36175.0,36181.0,6.0
2020-01-04T21,34908.0,35527.0,35533.0,5.0
2020-01-04T22,34466.0,35269.0,35159.0,-110.0
2020-01-04T23,34349.0,35311.0,35197.0,-115.0
2020-01-05T00,35423.0,36444.0,36234.0,-211.0
2020-01-05T01,37466.0,38254.0,38042.0,-212.0
2020-01-05T02,37636.0,38704.0,38508.0,-197.0
2020-01-05T03,37512.0,38835.0,38725.0,-111.0
2020-01-05T04,37208.0,38716.0,38606.0,-111.0
2020-01-05T05,36566.0,37962.0,37877.0,-85.0
2020-01-05T06,35584.0,37043.0,36935.0,-108.0
2020-01-05T07,35050.0,36174.0,35956.0,-219.0
2020-01-05T08,34368.0,35572.0,35351.0,-222.0
2020-01-05T09,34101.0,35380.0,35219.0,-161.0
2020-01-05T10,34074.0,35476.0,35401.0,-76.0
